buying,maint,doors,persons,lug_boot,safety,class
med,high,3_,2_,med,med,unacc
low,low,2_,2_,small,med,unacc
high,high,4_,more_,small,low,unacc
vhigh,vhigh,4_,more_,small,med,unacc
high,low,4_,4_,big,low,unacc
med,low,3_,4_,small,low,unacc
high,med,5more_,2_,med,med,unacc
high,med,4_,2_,med,low,unacc
med,low,5more_,2_,big,low,unacc
vhigh,high,3_,2_,small,low,unacc
vhigh,high,4_,4_,small,med,unacc
high,med,2_,2_,small,med,unacc
low,low,5more_,2_,small,med,unacc
low,low,3_,more_,med,low,unacc
vhigh,vhigh,5more_,more_,big,med,unacc
vhigh,med,5more_,4_,med,low,unacc
high,high,4_,4_,small,med,unacc
high,high,3_,more_,small,med,unacc
low,high,5more_,2_,big,med,unacc
vhigh,low,2_,4_,small,low,unacc
low,vhigh,3_,2_,big,med,unacc
vhigh,high,5more_,more_,small,high,unacc
low,high,2_,2_,med,med,unacc
high,vhigh,3_,4_,med,med,unacc
high,vhigh,5more_,2_,big,high,unacc
high,high,2_,2_,med,med,unacc
low,vhigh,4_,2_,big,high,unacc
vhigh,vhigh,5more_,more_,small,low,unacc
high,low,4_,4_,small,med,unacc
vhigh,vhigh,4_,2_,med,high,unacc
med,med,5more_,2_,small,low,unacc
med,med,5more_,4_,big,low,unacc
high,vhigh,4_,2_,small,low,unacc
high,high,5more_,more_,small,low,unacc
low,med,3_,more_,med,low,unacc
high,high,4_,4_,small,low,unacc
low,low,4_,4_,small,low,unacc
high,high,3_,4_,small,med,unacc
high,vhigh,5more_,2_,small,high,unacc
med,med,2_,more_,small,high,unacc
vhigh,med,3_,2_,med,med,unacc
vhigh,vhigh,2_,2_,big,low,unacc
high,vhigh,5more_,2_,big,low,unacc
high,low,2_,4_,big,low,unacc
vhigh,med,3_,2_,big,med,unacc
low,med,5more_,4_,med,low,unacc
med,high,2_,2_,med,low,unacc
vhigh,high,5more_,4_,small,med,unacc
med,high,4_,more_,big,low,unacc
med,low,4_,2_,big,high,unacc
high,low,2_,2_,big,low,unacc
high,vhigh,2_,4_,small,high,unacc
high,low,5more_,4_,small,low,unacc
vhigh,high,3_,4_,med,med,unacc
med,high,3_,2_,big,med,unacc
low,med,5more_,more_,med,low,unacc
vhigh,low,3_,more_,big,low,unacc
med,high,4_,2_,big,high,unacc
med,vhigh,5more_,2_,med,high,unacc
low,low,2_,more_,small,low,unacc
vhigh,vhigh,3_,2_,big,high,unacc
high,low,3_,4_,small,low,unacc
vhigh,med,5more_,2_,small,high,unacc
vhigh,med,2_,4_,med,med,unacc
high,low,4_,2_,big,low,unacc
vhigh,high,4_,more_,med,high,unacc
high,low,3_,more_,small,med,unacc
vhigh,high,3_,more_,med,high,unacc
high,vhigh,2_,more_,med,med,unacc
vhigh,low,3_,2_,med,low,unacc
vhigh,med,4_,4_,med,low,unacc
high,med,3_,2_,big,high,unacc
high,vhigh,5more_,2_,med,high,unacc
high,med,3_,4_,big,low,unacc
vhigh,low,2_,2_,big,high,unacc
low,high,3_,2_,big,high,unacc
high,high,5more_,more_,med,low,unacc
med,high,3_,2_,big,low,unacc
vhigh,med,3_,more_,small,low,unacc
vhigh,high,5more_,2_,med,high,unacc
low,low,2_,more_,med,low,unacc
med,low,2_,more_,med,low,unacc
med,med,5more_,2_,med,high,unacc
vhigh,vhigh,3_,more_,small,med,unacc
vhigh,high,5more_,more_,big,high,unacc
high,med,5more_,4_,small,low,unacc
high,med,2_,2_,small,low,unacc
high,high,3_,more_,small,low,unacc
high,low,2_,2_,med,low,unacc
low,high,2_,4_,small,low,unacc
high,low,2_,4_,med,low,unacc
vhigh,high,5more_,2_,med,low,unacc
med,high,5more_,2_,big,med,unacc
vhigh,vhigh,2_,4_,small,high,unacc
low,low,3_,2_,small,high,unacc
vhigh,med,2_,2_,big,high,unacc
vhigh,med,4_,more_,small,high,acc
low,high,2_,4_,small,med,acc
vhigh,med,2_,4_,big,high,acc
high,med,2_,4_,big,med,acc
high,med,4_,4_,big,high,acc
high,high,2_,4_,big,high,acc
med,high,5more_,4_,big,med,acc
low,high,5more_,more_,big,med,acc
vhigh,med,5more_,more_,small,high,acc
low,med,4_,more_,small,med,acc
med,high,4_,4_,med,med,acc
high,low,5more_,more_,med,med,acc
vhigh,med,3_,more_,small,high,acc
med,high,3_,more_,big,med,acc
low,high,3_,more_,small,med,acc
med,med,2_,4_,small,med,acc
high,med,5more_,4_,med,high,acc
low,high,3_,4_,big,med,acc
low,vhigh,2_,more_,big,med,acc
vhigh,med,5more_,4_,med,high,acc
low,vhigh,2_,4_,med,high,acc
high,med,4_,4_,med,med,acc
med,high,5more_,4_,big,high,acc
med,low,3_,4_,small,med,acc
low,vhigh,5more_,4_,small,high,acc
vhigh,med,2_,4_,med,high,acc
high,med,4_,more_,big,high,acc
vhigh,med,4_,4_,big,high,acc
med,med,3_,4_,med,med,acc
high,low,4_,4_,med,high,acc
low,high,5more_,4_,small,med,acc
med,vhigh,5more_,4_,med,med,acc
low,med,3_,4_,small,med,acc
vhigh,med,5more_,4_,med,med,acc
low,vhigh,4_,4_,big,high,acc
vhigh,med,3_,4_,med,high,acc
low,med,2_,more_,med,med,acc
low,vhigh,3_,more_,small,high,acc
low,high,3_,4_,big,high,vgood
low,low,3_,more_,med,high,vgood
low,low,3_,4_,big,high,vgood
med,med,3_,more_,med,high,vgood
low,high,4_,more_,med,high,vgood
low,med,2_,more_,big,high,vgood
med,low,4_,more_,med,high,vgood
low,low,5more_,4_,small,high,good
low,low,5more_,4_,med,med,good
low,low,4_,4_,med,med,good
low,med,5more_,4_,small,high,good
med,low,3_,more_,big,med,good
low,med,3_,4_,big,med,good
med,low,5more_,4_,big,med,good
high,high,3_,4_,big,low,unacc
high,high,2_,2_,small,low,unacc
low,low,5more_,more_,med,low,unacc
low,vhigh,4_,2_,big,med,unacc
high,low,3_,4_,med,med,unacc
low,vhigh,4_,2_,small,low,unacc
high,vhigh,5more_,more_,big,high,unacc
vhigh,vhigh,3_,4_,big,med,unacc
high,vhigh,2_,more_,big,low,unacc
low,high,5more_,4_,med,low,unacc
high,low,2_,2_,small,med,unacc
high,low,4_,more_,small,low,unacc
high,low,5more_,more_,small,med,unacc
med,high,2_,4_,big,low,unacc
low,vhigh,2_,more_,small,med,unacc
low,high,5more_,2_,big,low,unacc
med,high,4_,2_,big,med,unacc
med,high,3_,2_,small,low,unacc
vhigh,high,5more_,more_,big,med,unacc
med,high,3_,2_,med,low,unacc
vhigh,high,4_,4_,big,med,unacc
vhigh,vhigh,4_,2_,small,high,unacc
med,med,4_,4_,med,low,unacc
vhigh,vhigh,3_,2_,small,high,unacc
vhigh,vhigh,5more_,4_,small,high,unacc
med,high,4_,2_,big,low,unacc
high,vhigh,2_,4_,med,low,unacc
med,high,2_,2_,big,low,unacc
high,med,5more_,more_,small,med,unacc
vhigh,high,3_,2_,small,high,unacc
med,low,3_,2_,small,med,unacc
high,high,5more_,2_,med,low,unacc
med,low,2_,2_,med,high,unacc
high,high,5more_,2_,med,med,unacc
high,vhigh,2_,2_,small,med,unacc
vhigh,low,3_,more_,small,low,unacc
high,med,4_,2_,small,high,unacc
med,vhigh,4_,more_,med,low,unacc
vhigh,vhigh,3_,4_,small,low,unacc
med,low,4_,2_,small,med,unacc
low,low,4_,4_,med,low,unacc
vhigh,high,3_,2_,med,low,unacc
vhigh,vhigh,2_,4_,big,high,unacc
vhigh,high,2_,4_,small,med,unacc
low,med,2_,2_,big,low,unacc
high,med,2_,4_,small,low,unacc
high,med,4_,2_,big,med,unacc
med,med,2_,4_,big,low,unacc
low,high,2_,2_,med,high,unacc
vhigh,high,4_,more_,big,high,unacc
med,vhigh,2_,more_,small,high,unacc
low,vhigh,5more_,2_,med,high,unacc
high,high,5more_,2_,small,med,unacc
med,high,3_,more_,small,med,unacc
high,med,2_,more_,med,low,unacc
vhigh,high,2_,4_,big,high,unacc
high,vhigh,2_,2_,big,low,unacc
med,high,5more_,2_,small,med,unacc
vhigh,vhigh,3_,4_,small,med,unacc
vhigh,high,5more_,4_,med,high,unacc
vhigh,high,5more_,more_,med,high,unacc
high,med,4_,more_,big,low,unacc
low,low,2_,4_,med,low,unacc
med,vhigh,2_,4_,small,med,unacc
low,high,2_,more_,small,high,unacc
high,med,3_,2_,small,high,unacc
med,vhigh,2_,more_,big,low,unacc
high,vhigh,4_,2_,med,med,unacc
vhigh,high,2_,more_,big,low,unacc
med,vhigh,5more_,2_,big,med,unacc
high,low,5more_,2_,med,high,unacc
low,vhigh,5more_,2_,med,med,unacc
low,vhigh,3_,2_,small,low,unacc
vhigh,vhigh,3_,4_,big,high,unacc
high,high,4_,4_,big,low,unacc
low,med,4_,2_,med,low,unacc
med,low,3_,2_,med,med,unacc
high,vhigh,4_,4_,med,med,unacc
med,high,5more_,more_,small,low,unacc
med,med,3_,2_,med,low,unacc
low,med,2_,2_,small,high,unacc
med,low,3_,more_,small,low,unacc
high,low,2_,2_,med,high,unacc
vhigh,vhigh,2_,more_,big,med,unacc
high,high,4_,2_,med,low,unacc
high,vhigh,3_,2_,small,low,unacc
low,vhigh,3_,2_,small,med,unacc
med,med,4_,2_,big,low,unacc
med,vhigh,3_,2_,small,high,unacc
high,vhigh,2_,more_,small,low,unacc
vhigh,med,2_,4_,small,low,unacc
vhigh,vhigh,5more_,2_,small,high,unacc
vhigh,high,2_,more_,small,high,unacc
low,low,2_,4_,big,low,unacc
low,vhigh,2_,2_,med,med,unacc
vhigh,med,5more_,2_,big,high,unacc
high,med,2_,more_,small,med,unacc
vhigh,vhigh,4_,more_,med,high,unacc
high,high,5more_,4_,small,low,unacc
med,med,4_,more_,med,low,unacc
vhigh,vhigh,5more_,more_,big,low,unacc
vhigh,vhigh,5more_,4_,big,low,unacc
high,high,4_,4_,med,low,unacc
med,vhigh,2_,more_,small,low,unacc
med,vhigh,3_,more_,small,med,unacc
high,vhigh,4_,more_,small,high,unacc
med,med,3_,more_,med,low,unacc
low,low,3_,2_,big,med,unacc
high,vhigh,4_,2_,big,high,unacc
low,high,3_,4_,big,low,unacc
med,vhigh,4_,2_,big,med,unacc
med,vhigh,5more_,more_,med,low,unacc
low,high,2_,more_,big,low,unacc
med,low,2_,4_,big,low,unacc
high,high,2_,4_,med,low,unacc
high,vhigh,5more_,more_,small,high,unacc
med,high,5more_,2_,small,high,unacc
med,med,2_,4_,med,low,unacc
low,low,3_,2_,med,med,unacc
med,low,4_,more_,big,low,unacc
vhigh,high,3_,2_,med,high,unacc
high,high,2_,more_,big,high,acc
med,high,2_,4_,med,high,acc
med,high,5more_,more_,med,high,acc
high,med,3_,more_,small,high,acc
low,vhigh,3_,more_,big,med,acc
high,high,3_,4_,big,med,acc
high,low,2_,more_,big,high,acc
low,vhigh,4_,4_,med,high,acc
med,high,4_,more_,med,med,acc
low,vhigh,2_,4_,big,high,acc
low,low,5more_,4_,small,med,acc
vhigh,low,5more_,4_,big,med,acc
med,high,4_,more_,big,high,acc
low,high,4_,more_,med,med,acc
vhigh,med,4_,more_,med,high,acc
vhigh,low,3_,more_,med,med,acc
high,med,5more_,more_,big,med,acc
med,med,5more_,more_,big,med,acc
med,med,4_,4_,small,med,acc
high,high,3_,4_,small,high,acc
high,med,5more_,more_,med,high,acc
high,high,2_,4_,big,med,acc
high,low,5more_,4_,med,high,acc
med,low,3_,more_,small,med,acc
low,high,5more_,more_,small,high,acc
high,low,2_,more_,med,high,acc
high,low,3_,more_,med,high,acc
high,med,5more_,4_,big,med,acc
med,high,3_,4_,med,high,acc
med,vhigh,4_,more_,med,high,acc
low,high,4_,4_,small,med,acc
high,med,4_,more_,big,med,acc
vhigh,low,5more_,more_,big,med,acc
med,vhigh,3_,more_,big,high,acc
med,med,2_,more_,big,med,acc
high,med,3_,more_,med,med,acc
high,med,4_,more_,small,high,acc
vhigh,med,3_,more_,big,med,acc
low,high,5more_,4_,big,high,vgood
med,low,4_,4_,big,high,vgood
low,med,2_,4_,big,high,vgood
med,low,5more_,4_,med,high,vgood
med,med,4_,4_,big,high,vgood
low,high,5more_,4_,med,high,vgood
low,med,4_,4_,big,high,vgood
med,low,3_,more_,small,high,good
low,low,5more_,4_,big,med,good
low,med,5more_,more_,med,med,good
low,med,2_,more_,big,med,good
low,low,3_,more_,med,med,good
low,med,4_,4_,small,high,good
med,low,4_,4_,small,high,good
med,low,4_,4_,small,low,unacc
vhigh,high,4_,more_,small,high,unacc
vhigh,vhigh,3_,4_,med,low,unacc
low,low,2_,2_,small,low,unacc
low,low,3_,4_,small,low,unacc
vhigh,vhigh,2_,more_,small,low,unacc
vhigh,vhigh,2_,2_,big,med,unacc
high,high,2_,2_,big,med,unacc
med,high,5more_,more_,med,low,unacc
high,med,2_,4_,med,med,unacc
vhigh,high,4_,4_,small,high,unacc
low,high,5more_,2_,small,low,unacc
vhigh,high,5more_,2_,small,med,unacc
vhigh,med,5more_,4_,big,low,unacc
med,low,2_,more_,big,low,unacc
vhigh,high,2_,2_,small,low,unacc
med,vhigh,3_,2_,big,med,unacc
vhigh,high,3_,more_,small,high,unacc
high,vhigh,4_,more_,med,med,unacc
med,low,3_,more_,big,low,unacc
low,med,5more_,2_,small,med,unacc
vhigh,vhigh,4_,4_,small,high,unacc
high,vhigh,2_,4_,med,med,unacc
high,med,3_,2_,med,low,unacc
med,vhigh,2_,2_,med,low,unacc
med,low,2_,4_,med,low,unacc
high,med,2_,4_,med,low,unacc
med,med,3_,2_,big,high,unacc
vhigh,high,3_,4_,big,low,unacc
high,low,5more_,more_,small,low,unacc
low,vhigh,2_,2_,big,low,unacc
low,med,3_,more_,big,low,unacc
high,med,4_,more_,med,low,unacc
med,med,2_,2_,small,med,unacc
high,vhigh,3_,4_,small,med,unacc
vhigh,med,4_,2_,small,high,unacc
med,high,5more_,2_,big,high,unacc
high,vhigh,5more_,more_,big,med,unacc
vhigh,med,2_,4_,big,low,unacc
med,high,2_,2_,big,high,unacc
med,med,2_,2_,big,low,unacc
vhigh,low,4_,4_,med,low,unacc
low,high,3_,2_,med,med,unacc
med,med,5more_,2_,big,low,unacc
vhigh,vhigh,5more_,more_,med,high,unacc
vhigh,vhigh,4_,more_,med,low,unacc
med,low,5more_,more_,small,low,unacc
vhigh,vhigh,4_,4_,big,med,unacc
high,vhigh,3_,4_,med,high,unacc
vhigh,high,2_,more_,small,med,unacc
vhigh,high,4_,4_,med,low,unacc
vhigh,high,4_,more_,med,low,unacc
high,high,2_,2_,small,high,unacc
vhigh,low,5more_,2_,med,high,unacc
med,vhigh,2_,4_,small,low,unacc
vhigh,vhigh,5more_,4_,small,med,unacc
low,vhigh,5more_,2_,small,low,unacc
med,high,4_,more_,med,low,unacc
low,vhigh,2_,2_,med,high,unacc
high,vhigh,4_,2_,med,high,unacc
med,med,5more_,2_,small,med,unacc
med,vhigh,3_,2_,big,high,unacc
low,vhigh,3_,2_,med,high,unacc
vhigh,med,3_,4_,big,low,unacc
high,high,5more_,4_,big,low,unacc
low,high,3_,2_,med,low,unacc
low,vhigh,2_,2_,small,high,unacc
vhigh,high,3_,more_,small,med,unacc
high,vhigh,2_,more_,big,med,unacc
med,vhigh,3_,2_,med,med,unacc
low,high,3_,2_,med,high,unacc
vhigh,low,3_,4_,small,med,unacc
vhigh,high,2_,more_,big,high,unacc
vhigh,med,4_,2_,small,low,unacc
vhigh,low,3_,2_,small,med,unacc
vhigh,high,5more_,2_,big,med,unacc
vhigh,high,3_,4_,med,low,unacc
low,low,4_,4_,big,low,unacc
low,high,5more_,2_,small,high,unacc
high,high,5more_,4_,med,low,unacc
high,vhigh,3_,4_,small,low,unacc
med,med,4_,more_,big,low,unacc
vhigh,high,3_,4_,med,high,unacc
vhigh,vhigh,2_,more_,big,high,unacc
low,vhigh,4_,2_,big,low,unacc
vhigh,low,5more_,4_,med,low,unacc
high,vhigh,4_,4_,small,high,unacc
vhigh,med,5more_,2_,med,med,unacc
low,med,2_,2_,small,med,unacc
high,med,3_,2_,med,high,unacc
low,low,2_,2_,med,med,unacc
high,med,2_,more_,small,low,unacc
vhigh,med,2_,4_,med,low,unacc
med,vhigh,4_,2_,med,med,unacc
high,low,3_,more_,small,low,unacc
med,med,2_,2_,med,med,unacc
vhigh,high,5more_,more_,med,med,unacc
high,vhigh,5more_,more_,med,med,unacc
low,med,3_,4_,small,low,unacc
vhigh,high,3_,more_,big,low,unacc
vhigh,vhigh,2_,2_,small,med,unacc
low,low,5more_,2_,big,high,unacc
high,low,5more_,4_,small,med,unacc
med,vhigh,4_,more_,small,low,unacc
high,low,4_,2_,med,med,unacc
med,low,4_,more_,small,low,unacc
med,med,5more_,2_,big,med,unacc
vhigh,low,2_,more_,big,low,unacc
low,low,4_,2_,small,med,unacc
med,vhigh,3_,4_,big,low,unacc
low,med,4_,4_,small,low,unacc
med,low,5more_,2_,small,low,unacc
high,med,2_,more_,med,med,unacc
high,vhigh,4_,2_,big,low,unacc
low,vhigh,4_,4_,small,low,unacc
low,high,2_,more_,small,med,unacc
vhigh,high,4_,2_,small,high,unacc
vhigh,low,3_,4_,med,low,unacc
high,med,5more_,2_,big,med,unacc
low,low,3_,2_,big,high,unacc
high,low,2_,more_,med,med,unacc
low,high,3_,4_,small,high,acc
med,high,3_,more_,med,med,acc
med,med,5more_,4_,small,high,acc
med,high,4_,4_,med,high,acc
low,low,4_,more_,small,med,acc
high,low,3_,more_,small,high,acc
low,vhigh,2_,more_,big,high,acc
high,low,4_,more_,big,high,acc
low,med,3_,4_,med,med,acc
low,vhigh,5more_,more_,med,med,acc
high,low,2_,4_,med,high,acc
low,med,2_,4_,med,med,acc
low,high,2_,more_,big,med,acc
low,low,3_,4_,med,med,acc
low,vhigh,4_,more_,med,high,acc
low,high,5more_,4_,med,med,acc
med,med,5more_,more_,small,med,acc
vhigh,low,3_,more_,big,med,acc
med,med,3_,4_,big,med,acc
med,vhigh,5more_,4_,med,high,acc
high,high,4_,more_,big,high,acc
med,med,2_,more_,med,high,acc
high,low,3_,more_,big,high,acc
low,low,3_,4_,small,med,acc
med,med,4_,4_,small,high,acc
high,low,5more_,4_,small,high,acc
med,vhigh,4_,4_,med,med,acc
med,med,3_,4_,med,high,acc
low,high,5more_,more_,small,med,acc
high,med,5more_,more_,med,med,acc
low,high,3_,more_,med,med,acc
vhigh,med,3_,more_,med,high,acc
high,low,2_,4_,big,high,acc
med,low,2_,more_,med,med,acc
vhigh,med,2_,more_,big,med,acc
med,vhigh,3_,more_,med,high,acc
med,vhigh,4_,more_,big,high,acc
med,med,5more_,more_,med,med,acc
low,low,5more_,more_,med,high,vgood
low,low,2_,4_,big,high,vgood
med,med,5more_,4_,med,high,vgood
med,med,2_,more_,big,high,vgood
med,low,3_,4_,big,high,vgood
med,low,5more_,more_,med,high,vgood
low,low,5more_,more_,big,high,vgood
low,low,4_,4_,small,high,good
low,low,2_,more_,big,med,good
low,med,3_,4_,med,high,good
low,med,4_,more_,med,med,good
med,low,4_,more_,small,high,good
low,low,2_,more_,med,high,good
low,low,4_,4_,big,med,good
high,med,3_,2_,small,med,unacc
low,low,5more_,2_,big,med,unacc
high,low,2_,more_,big,low,unacc
med,vhigh,2_,2_,small,low,unacc
low,low,3_,more_,big,low,unacc
vhigh,low,5more_,2_,med,low,unacc
high,high,3_,2_,small,med,unacc
med,vhigh,3_,4_,small,med,unacc
high,med,5more_,2_,small,low,unacc
vhigh,vhigh,2_,2_,small,high,unacc
low,med,5more_,2_,big,med,unacc
low,vhigh,3_,4_,med,low,unacc
med,med,3_,2_,big,med,unacc
med,vhigh,5more_,4_,big,low,unacc
med,high,2_,2_,med,med,unacc
vhigh,low,3_,2_,big,high,unacc
med,med,3_,4_,med,low,unacc
low,med,2_,more_,big,low,unacc
vhigh,high,3_,4_,big,med,unacc
vhigh,high,4_,2_,med,low,unacc
med,vhigh,4_,2_,med,low,unacc
high,high,4_,more_,big,low,unacc
low,med,3_,2_,big,low,unacc
med,high,4_,4_,med,low,unacc
low,vhigh,3_,2_,med,med,unacc
med,high,5more_,more_,small,med,unacc
high,high,3_,2_,small,high,unacc
vhigh,low,5more_,more_,big,low,unacc
high,low,2_,more_,small,high,unacc
high,med,4_,2_,small,med,unacc
vhigh,high,3_,more_,big,high,unacc
vhigh,high,5more_,2_,med,med,unacc
vhigh,high,3_,2_,med,med,unacc
vhigh,med,2_,2_,med,low,unacc
med,vhigh,3_,more_,small,low,unacc
high,med,5more_,2_,small,high,unacc
vhigh,med,3_,more_,small,med,unacc
high,med,3_,4_,small,low,unacc
high,vhigh,4_,4_,med,low,unacc
vhigh,med,2_,2_,small,high,unacc
med,vhigh,2_,2_,med,med,unacc
vhigh,low,5more_,2_,small,high,unacc
med,vhigh,2_,more_,small,med,unacc
vhigh,high,4_,2_,small,med,unacc
high,low,4_,2_,med,high,unacc
vhigh,low,4_,2_,big,low,unacc
low,high,4_,2_,big,med,unacc
low,low,2_,2_,small,high,unacc
vhigh,med,3_,2_,med,high,unacc
high,vhigh,2_,2_,med,med,unacc
med,low,5more_,4_,small,low,unacc
vhigh,med,2_,more_,med,med,unacc
vhigh,vhigh,3_,4_,med,high,unacc
vhigh,high,2_,4_,big,low,unacc
vhigh,low,3_,more_,small,med,unacc
vhigh,low,4_,4_,big,low,unacc
vhigh,vhigh,3_,2_,small,med,unacc
vhigh,med,4_,2_,big,low,unacc
high,low,2_,2_,big,med,unacc
high,high,2_,2_,med,high,unacc
med,high,3_,4_,small,low,unacc
med,med,2_,more_,small,med,unacc
high,vhigh,5more_,4_,med,high,unacc
med,high,4_,2_,med,high,unacc
med,vhigh,4_,more_,big,low,unacc
vhigh,med,2_,more_,small,low,unacc
high,med,5more_,4_,small,med,unacc
med,high,5more_,2_,med,med,unacc
high,vhigh,2_,4_,big,high,unacc
high,low,5more_,2_,big,med,unacc
low,high,5more_,2_,big,high,unacc
vhigh,high,4_,4_,med,high,unacc
med,low,2_,2_,big,high,unacc
med,high,5more_,2_,big,low,unacc
low,med,4_,2_,small,high,unacc
low,low,2_,2_,med,low,unacc
vhigh,low,4_,2_,small,high,unacc
high,med,2_,2_,big,high,unacc
low,high,4_,more_,small,low,unacc
low,high,3_,2_,big,low,unacc
vhigh,low,2_,2_,small,high,unacc
low,high,3_,more_,big,low,unacc
low,low,2_,2_,big,low,unacc
vhigh,med,3_,2_,med,low,unacc
high,low,4_,4_,small,low,unacc
vhigh,low,5more_,more_,med,low,unacc
high,vhigh,4_,2_,med,low,unacc
vhigh,high,4_,2_,med,high,unacc
med,vhigh,5more_,4_,med,low,unacc
high,vhigh,4_,more_,big,high,unacc
med,med,3_,4_,small,low,unacc
low,vhigh,2_,4_,med,low,unacc
vhigh,high,4_,4_,small,low,unacc
high,med,5more_,more_,small,low,unacc
med,vhigh,4_,4_,big,low,unacc
high,low,4_,2_,big,high,unacc
vhigh,vhigh,3_,more_,big,low,unacc
high,vhigh,3_,more_,small,med,unacc
vhigh,vhigh,4_,more_,small,low,unacc
low,vhigh,5more_,4_,small,med,unacc
vhigh,med,2_,2_,small,low,unacc
med,med,4_,2_,small,med,unacc
med,med,4_,2_,big,high,unacc
vhigh,vhigh,4_,2_,med,med,unacc
high,vhigh,5more_,4_,med,med,unacc
vhigh,vhigh,4_,2_,big,high,unacc
vhigh,high,3_,more_,big,med,unacc
low,low,2_,more_,small,med,unacc
med,med,5more_,4_,small,low,unacc
vhigh,med,3_,2_,big,low,unacc
med,med,3_,2_,small,high,unacc
med,high,3_,2_,small,med,unacc
low,low,4_,2_,small,low,unacc
high,vhigh,5more_,2_,med,low,unacc
low,high,2_,2_,small,low,unacc
vhigh,high,2_,4_,med,high,unacc
vhigh,high,5more_,4_,big,high,unacc
vhigh,low,5more_,2_,small,low,unacc
high,vhigh,3_,more_,big,med,unacc
vhigh,high,4_,more_,med,med,unacc
vhigh,med,4_,more_,small,low,unacc
low,high,4_,4_,small,high,acc
med,med,4_,4_,med,med,acc
high,low,5more_,4_,med,med,acc
low,high,2_,more_,med,high,acc
high,low,5more_,4_,big,med,acc
med,med,5more_,4_,big,med,acc
vhigh,med,3_,4_,big,med,acc
med,high,3_,more_,big,high,acc
high,med,2_,4_,med,high,acc
high,low,2_,4_,big,med,acc
vhigh,low,4_,4_,med,med,acc
high,med,4_,more_,med,high,acc
low,med,5more_,4_,small,med,acc
high,med,5more_,4_,med,med,acc
high,low,5more_,more_,big,high,acc
vhigh,med,3_,4_,small,high,acc
med,vhigh,2_,4_,small,high,acc
high,high,5more_,more_,med,med,acc
high,high,4_,more_,med,high,acc
med,vhigh,3_,more_,small,high,acc
high,high,3_,4_,big,high,acc
vhigh,low,5more_,4_,small,high,acc
vhigh,low,3_,4_,med,high,acc
high,high,4_,4_,med,med,acc
high,high,4_,more_,small,high,acc
vhigh,med,5more_,4_,big,med,acc
high,high,4_,4_,big,high,acc
high,low,4_,4_,big,med,acc
med,vhigh,2_,4_,big,med,acc
med,med,5more_,4_,small,med,acc
med,med,2_,4_,med,high,acc
high,high,4_,4_,small,high,acc
med,med,3_,more_,med,med,acc
med,med,5more_,4_,med,med,acc
high,med,4_,4_,small,high,acc
low,low,2_,more_,med,med,acc
low,vhigh,3_,more_,big,high,acc
vhigh,low,3_,more_,small,high,acc
med,low,3_,more_,med,high,vgood
med,low,4_,4_,med,high,vgood
med,med,4_,more_,med,high,vgood
low,med,5more_,more_,med,high,vgood
med,med,4_,more_,big,high,vgood
low,high,4_,more_,big,high,vgood
low,high,3_,more_,big,high,vgood
med,low,3_,more_,med,med,good
low,med,2_,4_,big,med,good
low,med,2_,more_,med,high,good
low,low,2_,4_,big,med,good
med,low,2_,more_,big,med,good
low,low,5more_,more_,med,med,good
med,low,2_,4_,med,high,good
vhigh,low,4_,4_,small,low,unacc
high,high,5more_,4_,small,med,unacc
vhigh,low,5more_,2_,big,low,unacc
low,med,3_,4_,big,low,unacc
vhigh,low,3_,more_,med,low,unacc
high,low,5more_,2_,big,high,unacc
vhigh,vhigh,4_,4_,big,high,unacc
high,med,3_,more_,small,med,unacc
low,med,2_,4_,small,low,unacc
vhigh,low,5more_,4_,small,low,unacc
vhigh,low,4_,2_,small,med,unacc
vhigh,high,2_,4_,small,low,unacc
med,high,4_,2_,med,low,unacc
low,med,3_,2_,small,low,unacc
med,low,4_,2_,big,low,unacc
vhigh,low,3_,2_,big,low,unacc
high,high,2_,2_,big,high,unacc
med,low,4_,2_,small,low,unacc
vhigh,high,3_,4_,small,high,unacc
med,med,3_,2_,med,high,unacc
med,low,2_,2_,med,med,unacc
high,vhigh,5more_,4_,small,low,unacc
med,vhigh,5more_,2_,big,high,unacc
med,vhigh,3_,2_,small,med,unacc
med,low,2_,2_,big,med,unacc
high,med,2_,4_,small,med,unacc
low,high,4_,2_,big,high,unacc
med,med,4_,2_,med,med,unacc
low,low,2_,2_,big,med,unacc
low,low,3_,2_,med,high,unacc
high,vhigh,5more_,4_,small,med,unacc
med,vhigh,5more_,2_,big,low,unacc
low,med,2_,2_,small,low,unacc
med,med,4_,4_,big,low,unacc
vhigh,vhigh,3_,2_,big,low,unacc
low,med,4_,more_,med,low,unacc
low,vhigh,5more_,4_,med,low,unacc
low,med,2_,more_,small,med,unacc
low,vhigh,2_,4_,small,med,unacc
vhigh,vhigh,5more_,more_,med,med,unacc
high,low,5more_,2_,med,med,unacc
vhigh,med,5more_,4_,small,low,unacc
low,med,2_,more_,med,low,unacc
vhigh,med,2_,2_,med,high,unacc
vhigh,vhigh,5more_,2_,med,low,unacc
high,low,2_,2_,med,med,unacc
high,vhigh,3_,4_,big,low,unacc
med,med,4_,more_,small,low,unacc
high,low,4_,2_,small,low,unacc
vhigh,low,4_,more_,med,low,unacc
med,high,2_,2_,big,med,unacc
vhigh,high,5more_,4_,small,high,unacc
high,high,2_,4_,small,low,unacc
